elapsed_seconds,time_label,temperature_C
310,5:10,30.5
311,5:11,30.3
312,5:12,30.3
313,5:13,30
314,5:14,30.5
315,5:15,30.5
316,5:16,30.5
317,5:17,30.5
318,5:18,30.3
319,5:19,30
320,5:20,30.5
322,5:22,30.3
323,5:23,30.5
324,5:24,29.8
325,5:25,30
326,5:26,30
327,5:27,30.5
328,5:28,30.5
329,5:29,30
330,5:30,30
331,5:31,30.5
332,5:32,30.5
333,5:33,30.3
335,5:35,30.5
336,5:36,30.5
337,5:37,30
338,5:38,30
339,5:39,30.5
341,5:41,30.5
342,5:42,30
343,5:43,30
344,5:44,30.3
345,5:45,30.5
347,5:47,30.5
348,5:48,30
349,5:49,30
350,5:50,30.3
351,5:51,30.5
352,5:52,30
354,5:54,30.5
355,5:55,30.5
356,5:56,30.5
357,5:57,30
358,5:58,30.5
359,5:59,30.5
360,6:00,30.5
361,6:01,30.5
362,6:02,30
363,6:03,30.5
365,6:05,30.3
366,6:06,29.8
367,6:07,30.5
368,6:08,30
369,6:09,30.5
370,6:10,30.5
371,6:11,30.3
372,6:12,30.5
373,6:13,30
375,6:15,30.5
376,6:16,30.5
377,6:17,30.5
378,6:18,30.5
379,6:19,30
380,6:20,30
381,6:21,30.5
383,6:23,30
384,6:24,30.5
385,6:25,30.5
386,6:26,30
387,6:27,30.5
388,6:28,30.5
389,6:29,30.5
391,6:31,30.3
392,6:32,30.3
393,6:33,30.3
394,6:34,30.5
395,6:35,30.5
396,6:36,30
397,6:37,30.3
398,6:38,30
399,6:39,30.5
400,6:40,30.5
401,6:41,30.5
403,6:43,30.5
404,6:44,30.5
405,6:45,30
406,6:46,30.3
407,6:47,30.5
408,6:48,30
409,6:49,30.5
410,6:50,30.8
412,6:52,30
413,6:53,30.5
414,6:54,30.5
415,6:55,30.5
416,6:56,30.5
417,6:57,30.5
418,6:58,30
420,7:00,30.3
421,7:01,29.8
422,7:02,30.5
423,7:03,30.3
424,7:04,30.3
426,7:06,30.5
427,7:07,30.5
428,7:08,30.3
429,7:09,30.3
430,7:10,30.5
431,7:11,30.5
432,7:12,29.8
433,7:13,30.5
435,7:15,30.3
436,7:16,30.3
437,7:17,30.5
438,7:18,30
439,7:19,30.5
440,7:20,30.3
441,7:21,29.8
442,7:22,30.5
443,7:23,30.3
444,7:24,30.5
446,7:26,30.3
447,7:27,30.5
448,7:28,30.3
449,7:29,30.3
450,7:30,30.3
451,7:31,30.3
452,7:32,30.3
453,7:33,30.5
454,7:34,29.5
456,7:36,30
457,7:37,30
458,7:38,30
459,7:39,30
460,7:40,30.3
461,7:41,30.3
462,7:42,30
463,7:43,30.5
465,7:45,30.3
466,7:46,30.3
467,7:47,30.5
468,7:48,30.5
469,7:49,30.3
470,7:50,30.3
471,7:51,30.5
473,7:53,30.5
474,7:54,30
475,7:55,30.3
476,7:56,30.5
477,7:57,30.5
478,7:58,30.3
479,7:59,30
480,8:00,30
481,8:01,30.3
482,8:02,30.5
483,8:03,30.5
484,8:04,30
486,8:06,30.5
487,8:07,30.5
488,8:08,30.3
489,8:09,30.3
490,8:10,30.5
491,8:11,30.5
493,8:13,30.3
494,8:14,30.3
495,8:15,29.8
496,8:16,30.3
497,8:17,30.3
499,8:19,30
500,8:20,30.3
501,8:21,30
502,8:22,30.3
503,8:23,30.5
504,8:24,30.3
505,8:25,30.5
506,8:26,30.3
507,8:27,30.3
509,8:29,30.3
510,8:30,30.5
511,8:31,30.5
512,8:32,30.3
513,8:33,30.5
514,8:34,30.5
516,8:36,30.5
517,8:37,30.3
518,8:38,30.3
519,8:39,30.5
520,8:40,30.5
521,8:41,30.5
522,8:42,30.5
523,8:43,30.3
